one,two,index,text,raw_text,start_time,end_time,speaker_id,speaker_name
1,50,50,"Okay, this is one of my favorite questions to ask educators.","Okay, this is one of my favorite questions to ask educators.",291.39,294.438,1,JM
1,51,51,"And again, please be honest, don't be shy.","And again, please be honest, don't be shy.",294.454,297.238,1,JM
1,52,52,Tell me about that one lesson with facts that went terrible.,Tell me about that one lesson with facts that went terrible.,297.334,300.838,1,JM
1,53,53,Tell me about that one lesson.,Tell me about that one lesson.,300.934,302.374,1,JM
1,54,54,"You couldn't wait to walk into school and see this particular lesson, and it just went bad.","You couldn't wait to walk into school and see this particular lesson, and it just went bad.",302.422,307.102,1,JM
1,55,55,It fell flat.,It fell flat.,307.156,308.026,1,JM
1,56,56,It didn't work out for everyone.,It didn't work out for everyone.,308.058,309.438,1,JM
1,57,57,We would love to know why so we can fix that particular lesson.,We would love to know why so we can fix that particular lesson.,309.524,313.562,1,JM
1,58,58,"Now, as a corollary to that, you can either conclude this or as an or let us know about that one student or that group of students that you were not able to reach.","Now, as a corollary to that, you can either conclude this or as an or let us know about that one student or that group of students that you were not able to reach.",313.626,325.282,1,JM
1,59,59,Perfection.,Perfection.,325.336,325.982,1,JM
1,60,60,"Thought that after the exposure to your robotics problems, these students want to pursue engineering careers or computer science or just really kind of be engaged with it.","Thought that after the exposure to your robotics problems, these students want to pursue engineering careers or computer science or just really kind of be engaged with it.",326.046,337.898,1,JM
1,61,61,But for whatever reason it didn't work out.,But for whatever reason it didn't work out.,337.904,340.074,1,JM
1,62,62,We would love to hear.,We would love to hear.,340.192,341.42,1,JM
1,63,63,I'm lucky enough to work with some people that are able to think on their feet and work through issues as they come up.,I'm lucky enough to work with some people that are able to think on their feet and work through issues as they come up.,346.27,355.92,0,Andy Petrie
1,64,64,And I can't really think of many times where something we've tried to do hasn't really worked.,And I can't really think of many times where something we've tried to do hasn't really worked.,357.09,362.48,0,Andy Petrie
1,65,65,Probably the main problem would be referring back to a previous answer would be the Troubleshoot.,Probably the main problem would be referring back to a previous answer would be the Troubleshoot.,363.89,369.338,0,Andy Petrie
1,66,66,And it's just like what to know how to help the kids get them to redirect themselves is probably the biggest challenge.,And it's just like what to know how to help the kids get them to redirect themselves is probably the biggest challenge.,369.354,377.33,0,Andy Petrie
1,67,67,I think that's probably the most suitable answer I have for you there.,I think that's probably the most suitable answer I have for you there.,377.99,381.24,0,Andy Petrie
1,68,68,So thank you very much for participating with our survey.,So thank you very much for participating with our survey.,381.61,384.274,1,JM
1,69,69,"We, of course, are not going to share any of your information with anyone.","We, of course, are not going to share any of your information with anyone.",384.322,387.702,1,JM
1,70,70,We will keep everything confidential.,We will keep everything confidential.,387.756,389.666,1,JM
1,71,71,We just want to use this for internal purposes to make our products better for you.,We just want to use this for internal purposes to make our products better for you.,389.778,394.2,1,JM
1,72,72,"Thank you for your participation in the careers conference, and thank you for everything that you.","Thank you for your participation in the careers conference, and thank you for everything that you.",394.57,400.36,1,JM
1,73,73,Hold on Mike.,Hold on Mike.,407.25,408.122,0,Andy Petrie
1,74,74,No worries.,No worries.,408.186,408.96,1,JM
1,75,75,Thanks very much.,Thanks very much.,409.73,410.46,1,JM
2,0,0,So my name is Mill Zankov.,So my name is Mill Zankov.,0.65,2.106,0,Milo Zankov
2,1,1,"I'm teaching in Adelaide, Australia.","I'm teaching in Adelaide, Australia.",2.138,4.586,0,Milo Zankov
2,2,2,"I started with Vex in 2018 when Vex, Australia opened up a branch and warehouse and headquarters in in Adelaide.","I started with Vex in 2018 when Vex, Australia opened up a branch and warehouse and headquarters in in Adelaide.",4.698,14.282,0,Milo Zankov
2,3,3,And so my involvement is as a teacher across predominantly middle to high school in terms of the classroom setting.,And so my involvement is as a teacher across predominantly middle to high school in terms of the classroom setting.,14.426,23.466,0,Milo Zankov
2,4,4,But then I have role in terms of professional development across R to twelve and then I do some work with university sectors in terms of training preservice teachers.,But then I have role in terms of professional development across R to twelve and then I do some work with university sectors in terms of training preservice teachers.,23.498,36.63,0,Milo Zankov
2,5,5,And so my involvement with X has been across all the programs.,And so my involvement with X has been across all the programs.,37.21,42.614,0,Milo Zankov
2,6,6,"Just recently I've been doing professional development with One, Two, Three and Go for our junior primary and primary teachers and then within the upper years teaching both in the classroom and then training some new staff as well.","Just recently I've been doing professional development with One, Two, Three and Go for our junior primary and primary teachers and then within the upper years teaching both in the classroom and then training some new staff as well.",42.662,58.0,0,Milo Zankov
2,7,7,"In the competitive side with the program it's been diverse because obviously we as the first school in the state to really start Vex and then run the regional competitions, there's been a lot of professional development on the competitive side for schools around the state and that's across sectors.","In the competitive side with the program it's been diverse because obviously we as the first school in the state to really start Vex and then run the regional competitions, there's been a lot of professional development on the competitive side for schools around the state and that's across sectors.",58.45,81.234,0,Milo Zankov
2,8,8,"So government, non government schools.","So government, non government schools.",81.282,86.07,0,Milo Zankov
2,9,9,So my goals in Stem education are to continue growing the diversity of students and schools that are within the Vex program.,So my goals in Stem education are to continue growing the diversity of students and schools that are within the Vex program.,122.87,134.2,0,Milo Zankov
2,10,10,"Because for me, we had in the Adelaide region as an example, 16 schools involved bid over 400 students, which is a fantastic number in the state.","Because for me, we had in the Adelaide region as an example, 16 schools involved bid over 400 students, which is a fantastic number in the state.",134.81,145.53,0,Milo Zankov
2,11,11,But that equally means that there are thousands of students that have not had an opportunity and hundreds of teachers and equally schools as well.,But that equally means that there are thousands of students that have not had an opportunity and hundreds of teachers and equally schools as well.,145.6,158.32,0,Milo Zankov
2,12,12,So for me it's about scaling the program and that's a big component.,So for me it's about scaling the program and that's a big component.,159.09,166.69,0,Milo Zankov
2,13,13,"I guess I'm more thinking on a macro level now because within my school I've managed to get that golden, I guess, drive within teachers internally now in both computer science and the program where I could leave the school and it survives.","I guess I'm more thinking on a macro level now because within my school I've managed to get that golden, I guess, drive within teachers internally now in both computer science and the program where I could leave the school and it survives.",167.51,186.31,0,Milo Zankov
2,14,14,And so now I start to think about how can I ensure that there's a lot more students in the state that get access to the program and equally help those teachers and other programs nationally that can make sure that Vex keeps growing.,And so now I start to think about how can I ensure that there's a lot more students in the state that get access to the program and equally help those teachers and other programs nationally that can make sure that Vex keeps growing.,187.21,204.35,0,Milo Zankov
2,15,15,So I guess personally my background is in computer science teaching and that's what I've been doing for 15 plus years.,So I guess personally my background is in computer science teaching and that's what I've been doing for 15 plus years.,239.55,247.9,0,Milo Zankov
2,16,16,That area that Vex is covering in terms of the professional development side is very good in terms of teaching other teachers how to program and put that together.,That area that Vex is covering in terms of the professional development side is very good in terms of teaching other teachers how to program and put that together.,248.35,259.47,0,Milo Zankov
2,17,17,So I feel like that's covered.,So I feel like that's covered.,259.54,261.946,0,Milo Zankov
2,18,18,"But an area for me that is continually, I guess, something that I look to grow in is the mechanical engineering side.","But an area for me that is continually, I guess, something that I look to grow in is the mechanical engineering side.",261.978,273.14,0,Milo Zankov
2,19,19,"And so I feel like in some ways the computer science environment professionally the development has hit, it's never going to hit maturity, but it's very good and the components of that are excellent.","And so I feel like in some ways the computer science environment professionally the development has hit, it's never going to hit maturity, but it's very good and the components of that are excellent.",273.59,293.094,0,Milo Zankov
2,20,20,"And so it's this, I guess, be it with virtual support in terms of ensuring that there's CAD development and training for teachers like myself, that wasn't our background, but then equally as well skill sets around ensuring that we get the mechanical engineering components right.","And so it's this, I guess, be it with virtual support in terms of ensuring that there's CAD development and training for teachers like myself, that wasn't our background, but then equally as well skill sets around ensuring that we get the mechanical engineering components right.",293.142,316.434,0,Milo Zankov
2,21,21,"So that's at a really small level, sorry, at more of a classroom level in terms of personally improvement, and then in a larger area, it's always that space of ensuring that competition support exists and grows as the program in our state.","So that's at a really small level, sorry, at more of a classroom level in terms of personally improvement, and then in a larger area, it's always that space of ensuring that competition support exists and grows as the program in our state.",316.632,340.23,0,Milo Zankov
2,22,22,"As an example, moving out of just having 16 schools will probably double that this year.","As an example, moving out of just having 16 schools will probably double that this year.",340.3,346.006,0,Milo Zankov
2,23,23,All that remains and continues.,All that remains and continues.,346.188,349.77,0,Milo Zankov
2,24,24,it.,it.,374.89,375.64,1,
2,25,25,So an area that I think a lot of teachers when they get to a program as large as mine in terms of the extracurricular program.,So an area that I think a lot of teachers when they get to a program as large as mine in terms of the extracurricular program.,377.77,386.438,0,Milo Zankov
2,26,26,"So even though we've only got 150 students, we're probably the largest school in the state in terms of an extracurricular robotics program.","So even though we've only got 150 students, we're probably the largest school in the state in terms of an extracurricular robotics program.",386.524,396.14,0,Milo Zankov
2,27,27,"It sounds silly, but it's definitely something that teachers ask me a lot in Adelaide, Australia, around, is management of those resources in terms of classroom setup or workspace or workshop setup.","It sounds silly, but it's definitely something that teachers ask me a lot in Adelaide, Australia, around, is management of those resources in terms of classroom setup or workspace or workshop setup.",399.63,417.598,0,Milo Zankov
2,28,28,That is a continual area that is always growing.,That is a continual area that is always growing.,417.694,422.286,0,Milo Zankov
2,29,29,"And so you can have schools that potentially are often introducing these parts, pieces, materials for the very first time.","And so you can have schools that potentially are often introducing these parts, pieces, materials for the very first time.",422.318,432.182,0,Milo Zankov
2,30,30,"They might have traditional woodwork, metalwork, et cetera, but the actual setup of that environment is something that is often not discussed, it's found and stumbled upon, and you work it out as suddenly you've gone from five boxes off robots equipment to 25, 30.","They might have traditional woodwork, metalwork, et cetera, but the actual setup of that environment is something that is often not discussed, it's found and stumbled upon, and you work it out as suddenly you've gone from five boxes off robots equipment to 25, 30.",432.236,452.318,0,Milo Zankov
2,31,31,And so I feel like that's a component of parts materials warehouse that is assumed that you'll just be able to do and understand.,And so I feel like that's a component of parts materials warehouse that is assumed that you'll just be able to do and understand.,452.404,465.634,0,Milo Zankov
2,32,32,But it's actually one of my biggest challenges now as I've gathered an enormous amount of resources of equipment over the years since 2018 that I've now dealing with.,But it's actually one of my biggest challenges now as I've gathered an enormous amount of resources of equipment over the years since 2018 that I've now dealing with.,465.752,479.462,0,Milo Zankov
2,33,33,And that's an important component because we have many more students now wanting to access those resources from the gone are the days of 30 students in the program.,And that's an important component because we have many more students now wanting to access those resources from the gone are the days of 30 students in the program.,479.596,492.406,0,Milo Zankov
2,34,34,So that's an area to look at.,So that's an area to look at.,492.508,496.36,0,Milo Zankov
2,35,35,You.,You.,499.61,500.36,1,
2,36,36,I think the accessibility to high end teams or coaches or programs in the states that have been running for US international teams is very important and might be an area to really encourage and set up virtually and to have those conversations.,I think the accessibility to high end teams or coaches or programs in the states that have been running for US international teams is very important and might be an area to really encourage and set up virtually and to have those conversations.,537.39,564.286,0,Milo Zankov
2,37,37,"So what my blue sky thinking around that space is I met a couple of teachers at Welds, and they took photos of how their massive setups or their robotic setups occur.","So what my blue sky thinking around that space is I met a couple of teachers at Welds, and they took photos of how their massive setups or their robotic setups occur.",564.398,579.59,0,Milo Zankov
2,38,38,That I guess in a PD plus sense would be interesting.,That I guess in a PD plus sense would be interesting.,579.93,584.566,0,Milo Zankov
2,39,39,"And I'm just brainstorming now, let's say if you had time zone or virtual time zone setups for something like, how do you deal with 100 kilos worth of Vex equipment in your classroom?","And I'm just brainstorming now, let's say if you had time zone or virtual time zone setups for something like, how do you deal with 100 kilos worth of Vex equipment in your classroom?",584.668,606.266,0,Milo Zankov
2,40,40,"Then if there was an opportunity to virtually come in via Google meets or whatever it was, to have a live conversation for ten minutes where that person on the other end is in their room in their environment, they're showing me their set up.","Then if there was an opportunity to virtually come in via Google meets or whatever it was, to have a live conversation for ten minutes where that person on the other end is in their room in their environment, they're showing me their set up.",606.458,623.46,0,Milo Zankov
2,41,41,"They're showing me from the storage of how they're doing things like sea channels, et cetera.","They're showing me from the storage of how they're doing things like sea channels, et cetera.",623.83,631.986,0,Milo Zankov
2,42,42,And where are they being placed and in their room.,And where are they being placed and in their room.,632.018,634.23,0,Milo Zankov
2,43,43,And giving me a tour.,And giving me a tour.,634.3,636.546,0,Milo Zankov
2,44,44,And I'm able to ask them questions about how that functions for me at a level where the program in my school is obviously bursting at the seams in terms of the parts and pieces and materials.,And I'm able to ask them questions about how that functions for me at a level where the program in my school is obviously bursting at the seams in terms of the parts and pieces and materials.,636.578,652.51,0,Milo Zankov
2,45,45,"Like I said in the previous question, that can sometimes be, I guess, not looked at directly because it's just an assumed practice.","Like I said in the previous question, that can sometimes be, I guess, not looked at directly because it's just an assumed practice.",653.25,664.462,0,Milo Zankov
2,46,46,"But I think you got to remember from Australian schools getting into the program, they've never had this amount of equipment and set up, and so they don't have access to, I guess, in the States, many, many thousands of tens of thousands of schools involved in the program who they naturally can just almost drive to a school and go, show me how you've set it up.","But I think you got to remember from Australian schools getting into the program, they've never had this amount of equipment and set up, and so they don't have access to, I guess, in the States, many, many thousands of tens of thousands of schools involved in the program who they naturally can just almost drive to a school and go, show me how you've set it up.",664.526,691.402,0,Milo Zankov
2,47,47,We don't have that.,We don't have that.,691.456,692.666,0,Milo Zankov
2,48,48,And it's very early days still in Australia in that space.,And it's very early days still in Australia in that space.,692.848,696.442,0,Milo Zankov
2,49,49,So we need more of that resourcing and support that decide.,So we need more of that resourcing and support that decide.,696.496,704.146,0,Milo Zankov
2,50,50,"And I think that's important because if you can do that, you encourage people knowing how to handle Vex in terms of the parts and pieces, because if we don't, well, then we'll always kind of limit it based on how much resourcing a school is willing to sort of give someone in terms of cupboard space.","And I think that's important because if you can do that, you encourage people knowing how to handle Vex in terms of the parts and pieces, because if we don't, well, then we'll always kind of limit it based on how much resourcing a school is willing to sort of give someone in terms of cupboard space.",704.198,728.582,0,Milo Zankov
2,51,51,"Whereas if you can show them this is accessible for everyone, this is how we do it, then you have continual growth.","Whereas if you can show them this is accessible for everyone, this is how we do it, then you have continual growth.",728.636,735.122,0,Milo Zankov
2,52,52,"So thank you very much, Jason and the team.","So thank you very much, Jason and the team.",735.186,738.3,0,Milo Zankov
2,53,53,Yeah.,Yeah.,739.31,740.06,1,
2,54,54,Is this a summary?,Is this a summary?,743.55,744.71,0,Milo Zankov
2,55,55,Is this him finishing up?,Is this him finishing up?,744.79,746.442,0,Milo Zankov
2,56,56,There might be one more question.,There might be one more question.,746.576,748.14,0,Milo Zankov
2,57,57,It might be maybe one more so.,It might be maybe one more so.,751.65,772.322,0,Milo Zankov
2,58,58,"Success story for me is just seeing the fact that we've had students this year, my full so come full cycle.","Success story for me is just seeing the fact that we've had students this year, my full so come full cycle.",772.376,783.282,0,Milo Zankov
